Table 1.2 Net overseas migration by country of birth, New South Wales, 2004-05 to 2024-25(a)(b),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SACC code(c),Country of birth(c),2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24,2024-25(d),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5103,Laos,20,50,70,50,90,50,20,60,40,70,40,80,100,120,70,130,-40,120,280,230,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5104,Thailand,920,1 590,2 130,2 580,2 750,1 060,240,770,1 630,2 720,2 890,2 380,1 770,390,610,-160,-380,2 620,4 520,1 300,430,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5105,Vietnam,770,1 260,1 750,2 430,2 920,2 280,1 570,1 890,2 750,2 930,2 770,2 980,3 180,2 710,2 710,2 240,80,2 600,6 260,7 460,3 160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5201,Brunei,40,20,30,20,10,20,0,0,30,-10,10,20,50,-10,-40,-20,10,40,0,30,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5202,Indonesia,-110,480,1 060,1 610,1 900,1 130,770,950,770,850,1 390,1 240,1 720,1 320,1 640,1 200,-420,1 630,5 910,4 180,2 770,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5203,Malaysia,870,1 160,1 420,1 310,1 040,630,750,720,660,790,1 120,2 160,2 780,2 320,1 110,380,-430,440,1 080,640,140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5204,Philippines,2 370,2 300,2 560,3 030,3 160,2 510,2 460,3 740,3 560,3 890,3 660,4 160,4 780,4 380,6 260,5 150,750,3 990,14 110,9 930,5 450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5205,Singapore,460,220,330,380,400,300,280,410,440,230,430,370,620,350,160,-130,320,720,590,570,470,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5206,Timor-Leste,-20,10,-10,10,30,-20,-10,10,0,0,-10,-10,0,0,10,30,30,20,230,230,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6101,China,8 030,7 690,11 700,15 350,12 560,9 550,5 950,4 650,8 510,12 160,14 880,17 420,19 250,17 090,6 520,-10 240,-16 630,5 670,24 610,19 640,15 080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6102,Hong Kong,310,-60,280,250,330,310,130,-70,360,480,600,650,910,500,630,1 090,1 110,2 990,2 400,1 620,1 140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6103,Macau,-10,10,20,30,60,30,40,-20,10,-30,20,30,40,10,30,-40,-30,40,50,40,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6104,Mongolia,-20,-10,0,40,100,60,70,30,40,170,450,620,840,980,1 200,270,-530,400,4 530,1 840,-390,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6105,Taiwan,10,140,140,220,250,180,120,710,1 350,910,230,720,870,710,-110,-1 400,-770,670,1 970,1 120,410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6201,Japan,720,460,350,160,210,10,430,420,440,450,250,410,360,-20,-130,-710,-250,780,1 630,900,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6202,Korea, North,-40,-50,-40,-80,-20,-40,-50,-30,-20,0,20,0,-10,10,-10,-20,-10,-20,0,10,-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6203,Korea, South,2 940,4 050,4 580,4 480,3 720,1 950,1 360,1 570,2 080,1 220,1 450,1 800,1 630,560,-420,-2 390,-1 650,820,2 740,990,620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7101,Bangladesh,1 480,1 090,1 890,1 640,1 620,1 460,1 120,1 120,1 090,1 180,1 580,1 790,1 730,1 650,1 380,1 400,-160,1 320,3 070,4 930,5 330,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7102,Bhutan,10,0,20,-10,190,170,160,110,100,140,90,100,80,80,50,80,0,160,280,230,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7103,India,6 340,7 770,11 650,14 640,13 180,4 940,3 150,5 270,7 330,10 300,12 400,13 750,17 020,18 530,21 970,17 610,-1 650,13 820,27 620,18 620,15 610,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7104,Maldives,10,10,10,10,10,-10,0,10,10,10,0,0,10,0,-10,10,0,10,20,20,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7105,Nepal,250,740,3 220,5 520,6 460,1 340,210,1 040,1 530,3 650,3 740,4 970,9 600,14 220,15 260,7 660,-1 190,14 870,16 870,9 920,8 770,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7106,Pakistan,650,730,1 110,1 170,1 390,1 370,1 500,1 960,2 300,2 500,2 960,2 710,2 860,3 100,2 740,2 090,80,2 830,6 780,4 380,2 740,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7107,Sri Lanka,750,790,980,1 250,1 260,1 000,720,810,970,690,670,680,770,680,880,980,350,830,2 090,2 410,2 710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7201,Afghanistan,840,1 060,680,440,490,440,430,350,610,970,590,630,630,650,620,610,460,1 790,1 530,2 650,2 100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7202,Armenia,10,10,10,20,10,20,0,10,10,10,20,20,20,10,10,0,10,10,10,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7203,Azerbaijan,0,0,0,0,10,10,10,20,10,10,20,20,10,20,10,0,0,0,30,20,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7204,Georgia,10,10,10,10,10,10,10,10,20,10,10,20,10,20,10,0,20,10,20,20,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7205,Kazakhstan,20,40,30,30,40,40,60,70,40,40,40,50,50,40,40,10,10,20,60,60,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7206,Kyrgyzstan,0,10,10,10,0,10,20,10,20,10,0,20,10,10,20,10,0,10,40,20,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
